frame,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14
35,0.999546,0.000046,0.000519,0.000032,0.000099,0.000089,0.000056,0.005383,0.003462,0.015959,0.891434,0.000567,0.000209,0.001753,0.000648
36,0.816956,0.001483,0.032714,0.003161,0.001085,0.000320,0.000391,0.030994,0.002189,0.027911,0.854298,0.001438,0.000138,0.000994,0.000779
37,0.999887,0.000001,0.000762,0.000005,0.000026,0.000070,0.084281,0.000943,0.030945,0.250423,0.011946,0.001172,0.000825,0.000399,0.000201
38,0.998827,0.000007,0.001819,0.000409,0.000260,0.000171,0.003684,0.004017,0.020695,0.288748,0.149583,0.001325,0.000328,0.000916,0.000399
39,0.998501,0.000040,0.001597,0.000229,0.000636,0.000160,0.000392,0.008990,0.006087,0.639758,0.093528,0.000651,0.000195,0.002392,0.002087
40,0.998972,0.000001,0.005665,0.000019,0.000065,0.000087,0.002002,0.001332,0.015725,0.479519,0.057888,0.000654,0.000143,0.000747,0.000244
41,0.999684,0.000003,0.001226,0.000031,0.000110,0.000082,0.001053,0.002193,0.010752,0.515612,0.078632,0.000648,0.000135,0.000992,0.000478
42,0.991433,0.000007,0.008916,0.000151,0.000517,0.000111,0.000377,0.001887,0.005702,0.761602,0.103961,0.000547,0.000100,0.001437,0.001042
43,0.999607,0.000002,0.002974,0.000013,0.000060,0.000060,0.001336,0.001252,0.008405,0.633008,0.084895,0.000597,0.000086,0.000670,0.000418
44,0.999057,0.000054,0.004028,0.000038,0.000200,0.000164,0.000263,0.036994,0.006967,0.627288,0.091613,0.000732,0.000144,0.001893,0.002978
45,0.995068,0.000021,0.012732,0.000104,0.000370,0.000127,0.000470,0.003558,0.004549,0.566220,0.276618,0.000778,0.000091,0.001424,0.002828
46,0.999820,0.000019,0.000952,0.000001,0.000036,0.000068,0.000081,0.492703,0.010690,0.019642,0.251371,0.000498,0.000064,0.000876,0.000931
47,0.998764,0.000031,0.005132,0.000029,0.000137,0.000169,0.000241,0.009074,0.005651,0.507123,0.105479,0.000669,0.000127,0.001764,0.002288
48,0.997191,0.000012,0.007365,0.000050,0.000066,0.000142,0.001569,0.000703,0.006580,0.028792,0.808321,0.001347,0.000130,0.000764,0.000646
49,0.999978,0.000001,0.000114,0.000000,0.000010,0.000060,0.000171,0.045397,0.053741,0.013917,0.088729,0.000550,0.000086,0.000723,0.000468
50,0.999696,0.000021,0.001471,0.000002,0.000040,0.000202,0.000406,0.091424,0.061605,0.056607,0.254801,0.001191,0.000165,0.001485,0.001351
51,0.999875,0.000005,0.000187,0.000008,0.000109,0.000100,0.000169,0.311430,0.016431,0.008639,0.061979,0.000693,0.000074,0.000622,0.000632
52,0.999163,0.000026,0.003882,0.000002,0.000030,0.000106,0.000154,0.796304,0.045883,0.007210,0.048218,0.000531,0.000069,0.001042,0.000628
53,0.999667,0.000008,0.001293,0.000003,0.000041,0.000078,0.000119,0.723146,0.020882,0.007122,0.042015,0.000510,0.000070,0.001030,0.000507
54,0.652537,0.007930,0.184523,0.011511,0.000410,0.000487,0.000607,0.000326,0.001291,0.003494,0.998659,0.004941,0.000100,0.004459,0.003331
55,0.944109,0.003961,0.033186,0.002325,0.001234,0.001154,0.000327,0.001525,0.002591,0.217153,0.557989,0.001010,0.000477,0.003520,0.000916
56,0.999984,0.000001,0.000024,0.000001,0.000108,0.000017,0.000065,0.638700,0.004517,0.008780,0.043821,0.000189,0.000235,0.000286,0.000180
57,0.999949,0.000004,0.000170,0.000001,0.000037,0.000019,0.000044,0.620263,0.003294,0.002964,0.045909,0.000140,0.000084,0.000339,0.000217
58,0.999974,0.000001,0.000062,0.000000,0.000019,0.000010,0.000011,0.808319,0.001107,0.002057,0.007433,0.000066,0.000030,0.000324,0.000127
59,0.999985,0.000001,0.000076,0.000000,0.000012,0.000008,0.000021,0.876286,0.002367,0.005456,0.020998,0.000087,0.000034,0.000340,0.000229
60,0.999941,0.000002,0.000231,0.000001,0.000025,0.000017,0.000012,0.381171,0.001428,0.003433,0.064360,0.000139,0.000029,0.000407,0.000434
61,0.999989,0.000000,0.000076,0.000000,0.000016,0.000010,0.000017,0.294264,0.003384,0.011768,0.064251,0.000185,0.000035,0.000662,0.000284
62,0.994394,0.000020,0.021780,0.000015,0.000007,0.000015,0.000010,0.010959,0.000432,0.000535,0.956982,0.000195,0.000009,0.000661,0.000731
63,0.996688,0.000070,0.004259,0.000033,0.000008,0.000008,0.000007,0.014486,0.000248,0.000317,0.978132,0.000110,0.000005,0.000524,0.000718
64,0.969090,0.000145,0.049142,0.000446,0.000172,0.000299,0.000362,0.000550,0.004016,0.003570,0.970549,0.005569,0.000138,0.003923,0.003601
65,0.697478,0.000062,0.027333,0.002394,0.029654,0.000290,0.001928,0.000284,0.000634,0.008165,0.847166,0.001452,0.000100,0.000696,0.000730
66,0.890730,0.000016,0.002273,0.043508,0.013149,0.000119,0.000771,0.000609,0.000881,0.024147,0.769886,0.000755,0.000065,0.000353,0.000369
67,0.999739,0.000001,0.000149,0.000097,0.000228,0.000061,0.000173,0.000680,0.003974,0.003890,0.417271,0.000616,0.000746,0.000358,0.000451
68,0.998262,0.000004,0.001033,0.001031,0.000798,0.000101,0.001497,0.000303,0.005652,0.077580,0.468499,0.001093,0.000559,0.000605,0.000720
69,0.999974,0.000001,0.000010,0.000003,0.000183,0.000021,0.000107,0.000394,0.004012,0.003492,0.358053,0.000256,0.000929,0.000118,0.000201
70,0.999982,0.000000,0.000084,0.000000,0.000001,0.000009,0.000045,0.000101,0.006149,0.002442,0.521453,0.000189,0.000061,0.000126,0.000116
71,0.999898,0.000012,0.000002,0.000002,0.000108,0.000014,0.000004,0.001848,0.000634,0.001021,0.003566,0.000050,0.000104,0.000118,0.000038
72,0.998020,0.000304,0.000004,0.000008,0.000149,0.000013,0.000001,0.001187,0.000136,0.000430,0.000576,0.000024,0.000033,0.000355,0.000054
73,0.999975,0.000001,0.000018,0.000000,0.000002,0.000006,0.000001,0.001086,0.000605,0.000174,0.001886,0.000034,0.000005,0.000098,0.000093
74,0.999962,0.000001,0.000023,0.000000,0.000001,0.000004,0.000000,0.001260,0.000277,0.000072,0.000634,0.000021,0.000002,0.000070,0.000080
75,0.999675,0.000017,0.000035,0.000001,0.000009,0.000010,0.000001,0.001557,0.000276,0.000167,0.000380,0.000028,0.000004,0.000282,0.000129
76,0.999722,0.000015,0.000026,0.000001,0.000009,0.000009,0.000001,0.001457,0.000266,0.000169,0.000344,0.000027,0.000004,0.000288,0.000133
77,0.999294,0.000016,0.000501,0.000002,0.000012,0.000027,0.000005,0.001752,0.000460,0.000314,0.000846,0.000091,0.000006,0.000533,0.000474
78,0.977797,0.001652,0.021678,0.000544,0.000069,0.000156,0.000184,0.000345,0.002292,0.001243,0.957370,0.002265,0.000029,0.006374,0.007958
79,0.960940,0.000148,0.004070,0.003054,0.006383,0.000529,0.002815,0.012900,0.018235,0.030387,0.350118,0.003970,0.000554,0.007553,0.003762
80,0.937961,0.003397,0.002445,0.000254,0.003978,0.001382,0.000142,0.011922,0.004228,0.012852,0.154367,0.000872,0.001171,0.002081,0.001353
81,0.528561,0.000218,0.272280,0.006006,0.007858,0.000662,0.000657,0.006920,0.009594,0.146553,0.316621,0.003570,0.001558,0.027037,0.017950
82,0.976485,0.000896,0.006522,0.000747,0.000560,0.000173,0.000224,0.003153,0.004371,0.007635,0.923146,0.001558,0.000273,0.002617,0.005117
83,0.001475,0.000100,0.000153,0.954346,0.103119,0.001162,0.000431,0.000792,0.001546,0.010155,0.419563,0.001278,0.000637,0.000248,0.000288
84,0.001479,0.000025,0.000120,0.994432,0.024974,0.000350,0.000185,0.001322,0.001267,0.000981,0.546200,0.001116,0.000772,0.000299,0.000188
85,0.000020,0.000002,0.000467,0.998107,0.012177,0.000140,0.000147,0.002895,0.001030,0.073769,0.270736,0.000317,0.000396,0.000105,0.000079
86,0.000002,0.000003,0.000184,0.999452,0.000469,0.000036,0.000052,0.002609,0.000749,0.099104,0.129412,0.000121,0.000067,0.000054,0.000024
87,0.000003,0.000002,0.000034,0.999824,0.000666,0.000047,0.000074,0.002628,0.001080,0.095590,0.147900,0.000156,0.000049,0.000045,0.000016
88,0.000004,0.000002,0.000033,0.999840,0.000654,0.000047,0.000078,0.002640,0.001109,0.087952,0.159281,0.000163,0.000053,0.000048,0.000015
89,0.000004,0.000002,0.000032,0.999833,0.000693,0.000050,0.000076,0.002732,0.001133,0.092808,0.163954,0.000168,0.000053,0.000048,0.000016
90,0.000000,0.000007,0.000005,0.997111,0.005032,0.000129,0.000001,0.008794,0.000175,0.000107,0.001704,0.000071,0.000016,0.000066,0.000009
91,0.000002,0.000011,0.000002,0.999304,0.000384,0.000014,0.000001,0.000806,0.000130,0.000066,0.186608,0.000036,0.000054,0.000023,0.000012
92,0.000002,0.000000,0.000011,0.999995,0.000005,0.000001,0.000063,0.000030,0.000787,0.001104,0.003278,0.000046,0.000005,0.000015,0.000165
93,0.000004,0.000005,0.000017,0.963595,0.083711,0.000051,0.000049,0.000232,0.000307,0.000062,0.125225,0.000159,0.000059,0.000021,0.000017
94,0.000000,0.000002,0.000069,0.989569,0.012817,0.000113,0.000101,0.000093,0.000477,0.000594,0.000768,0.000110,0.003827,0.000036,0.000013
95,0.000339,0.000001,0.000009,0.037491,0.965157,0.001490,0.000002,0.000392,0.000095,0.000382,0.004145,0.000784,0.000108,0.000200,0.000107
96,0.000452,0.000022,0.000511,0.009286,0.986954,0.004072,0.000118,0.000387,0.000814,0.000142,0.010920,0.018700,0.000362,0.002300,0.000171
97,0.000992,0.000540,0.003535,0.001130,0.944121,0.522264,0.000090,0.001283,0.001436,0.000451,0.006259,0.384213,0.001065,0.004251,0.000407
98,0.000219,0.000052,0.000516,0.001077,0.996849,0.049018,0.000028,0.001247,0.000354,0.002471,0.003636,0.008661,0.000409,0.000750,0.000137
99,0.000000,0.000256,0.000067,0.000193,0.992869,0.023705,0.000001,0.002481,0.000027,0.000047,0.000071,0.000422,0.000230,0.000171,0.000027
100,0.000000,0.000228,0.000038,0.000250,0.997821,0.009435,0.000001,0.000996,0.000028,0.000113,0.000142,0.000211,0.000326,0.000412,0.000037
101,0.000000,0.000089,0.000071,0.003761,0.991641,0.016523,0.000010,0.001866,0.000135,0.000215,0.000361,0.000557,0.001454,0.000142,0.000035
102,0.000002,0.000026,0.000060,0.033784,0.981124,0.001061,0.000027,0.002050,0.000113,0.000047,0.000773,0.000187,0.001354,0.000075,0.000021
103,0.000004,0.000008,0.000024,0.004793,0.996707,0.002063,0.000012,0.001306,0.000092,0.000181,0.000732,0.000207,0.000579,0.000065,0.000024
104,0.000057,0.001058,0.000067,0.012230,0.976602,0.011711,0.000027,0.000347,0.000153,0.000406,0.000641,0.000468,0.020724,0.000324,0.000110
105,0.000185,0.001682,0.000758,0.296295,0.669315,0.007233,0.000105,0.000274,0.000503,0.000295,0.001820,0.000736,0.525854,0.000442,0.000148
