frame,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14
40,0.982363,0.000000,0.008168,0.001613,0.000034,0.000046,0.000475,0.000170,0.004650,0.135823,0.033487,0.000360,0.000074,0.000960,0.000292
41,0.994372,0.000001,0.001671,0.001691,0.000049,0.000043,0.000196,0.000259,0.002685,0.124028,0.051521,0.000311,0.000052,0.000925,0.000359
42,0.934671,0.000001,0.006465,0.003607,0.000177,0.000040,0.000123,0.000217,0.001941,0.244475,0.073013,0.000260,0.000039,0.001423,0.000745
43,0.993580,0.000000,0.003007,0.000782,0.000026,0.000030,0.000200,0.000146,0.002085,0.174626,0.056811,0.000276,0.000033,0.000582,0.000304
44,0.988814,0.000016,0.006621,0.000581,0.000081,0.000077,0.000137,0.001746,0.002698,0.248822,0.096007,0.000402,0.000065,0.002316,0.003389
45,0.966335,0.000006,0.013247,0.001700,0.000127,0.000048,0.000213,0.000396,0.001612,0.135963,0.310213,0.000411,0.000041,0.001432,0.002790
46,0.998381,0.000004,0.001065,0.000045,0.000018,0.000044,0.000017,0.041283,0.005025,0.005005,0.286735,0.000404,0.000038,0.001248,0.001349
47,0.990297,0.000009,0.007157,0.000395,0.000055,0.000070,0.000116,0.000816,0.002039,0.145068,0.138081,0.000373,0.000052,0.001869,0.002412
48,0.927178,0.000003,0.009109,0.004908,0.000039,0.000085,0.000336,0.000079,0.001560,0.005474,0.728629,0.000691,0.000071,0.000743,0.000782
49,0.999736,0.000000,0.000130,0.000024,0.000005,0.000034,0.000033,0.002621,0.017506,0.002194,0.050658,0.000331,0.000038,0.000852,0.000687
50,0.996966,0.000005,0.001292,0.000104,0.000018,0.000120,0.000083,0.004081,0.027785,0.010293,0.214676,0.000837,0.000088,0.002005,0.002401
51,0.998190,0.000001,0.000158,0.000524,0.000045,0.000057,0.000031,0.013155,0.006852,0.001384,0.034651,0.000464,0.000036,0.000846,0.001120
52,0.993475,0.000005,0.003420,0.000055,0.000018,0.000079,0.000055,0.177892,0.032306,0.002338,0.046070,0.000500,0.000052,0.001219,0.000733
53,0.996888,0.000002,0.001219,0.000104,0.000022,0.000055,0.000033,0.095227,0.012402,0.002180,0.038234,0.000468,0.000051,0.001586,0.000736
54,0.307349,0.001868,0.193113,0.041467,0.000195,0.000226,0.000633,0.000100,0.000741,0.001652,0.998275,0.003153,0.000069,0.002997,0.002210
55,0.633504,0.000488,0.031117,0.056822,0.000478,0.000407,0.000104,0.000143,0.000816,0.037757,0.398863,0.000516,0.000213,0.003645,0.000896
56,0.999792,0.000000,0.000032,0.000030,0.000043,0.000009,0.000013,0.038191,0.001862,0.002111,0.038337,0.000135,0.000120,0.000513,0.000415
57,0.999564,0.000000,0.000142,0.000029,0.000019,0.000011,0.000012,0.035837,0.001483,0.000954,0.047507,0.000118,0.000052,0.000526,0.000351
58,0.999768,0.000000,0.000078,0.000013,0.000011,0.000006,0.000003,0.120929,0.000596,0.000718,0.007800,0.000060,0.000020,0.000595,0.000226
59,0.999847,0.000000,0.000087,0.000008,0.000006,0.000005,0.000007,0.201657,0.001498,0.001971,0.025667,0.000085,0.000024,0.000538,0.000299
60,0.999351,0.000000,0.000178,0.000033,0.000013,0.000010,0.000003,0.014445,0.000691,0.000944,0.058200,0.000113,0.000017,0.000579,0.000554
61,0.999865,0.000000,0.000085,0.000007,0.000008,0.000006,0.000004,0.015074,0.001763,0.002826,0.054138,0.000148,0.000019,0.001031,0.000413
62,0.955467,0.000002,0.020528,0.000346,0.000003,0.000006,0.000004,0.000688,0.000153,0.000119,0.934996,0.000113,0.000005,0.000586,0.000842
63,0.976890,0.000013,0.003728,0.000408,0.000003,0.000003,0.000003,0.001718,0.000096,0.000092,0.969995,0.000056,0.000002,0.000356,0.000526
64,0.810385,0.000024,0.033877,0.004791,0.000084,0.000148,0.000216,0.000119,0.002012,0.001190,0.947004,0.003012,0.000081,0.002528,0.001582
65,0.327988,0.000017,0.017720,0.053037,0.004130,0.000140,0.003873,0.000049,0.000478,0.002774,0.746743,0.000896,0.000116,0.000739,0.000339
66,0.625548,0.000004,0.000813,0.466621,0.001533,0.000049,0.000550,0.000067,0.000476,0.006024,0.742537,0.000354,0.000052,0.000286,0.000153
67,0.990760,0.000000,0.000183,0.010228,0.000070,0.000022,0.000079,0.000040,0.001032,0.000597,0.294043,0.000232,0.000529,0.000332,0.000619
68,0.973714,0.000001,0.000604,0.025775,0.000218,0.000029,0.000894,0.000030,0.001965,0.013488,0.466831,0.000421,0.000369,0.000491,0.000618
69,0.999327,0.000000,0.000010,0.000932,0.000053,0.000009,0.000018,0.000020,0.000704,0.000320,0.250570,0.000094,0.000456,0.000123,0.000369
70,0.999334,0.000000,0.000120,0.000133,0.000001,0.000005,0.000013,0.000013,0.001450,0.000349,0.346031,0.000104,0.000056,0.000161,0.000232
71,0.998228,0.000002,0.000001,0.000166,0.000053,0.000006,0.000001,0.000100,0.000126,0.000139,0.001672,0.000020,0.000047,0.000099,0.000036
72,0.972204,0.000039,0.000003,0.000493,0.000063,0.000006,0.000000,0.000103,0.000038,0.000078,0.000219,0.000011,0.000016,0.000367,0.000047
73,0.999560,0.000000,0.000021,0.000004,0.000001,0.000003,0.000000,0.000101,0.000136,0.000023,0.000511,0.000017,0.000002,0.000131,0.000153
74,0.999503,0.000000,0.000024,0.000004,0.000000,0.000002,0.000000,0.000129,0.000073,0.000011,0.000214,0.000011,0.000001,0.000084,0.000123
75,0.995878,0.000003,0.000039,0.000045,0.000004,0.000005,0.000000,0.000162,0.000071,0.000026,0.000121,0.000015,0.000002,0.000321,0.000175
76,0.996402,0.000003,0.000029,0.000050,0.000004,0.000004,0.000000,0.000155,0.000069,0.000027,0.000109,0.000014,0.000002,0.000335,0.000176
77,0.992556,0.000002,0.000422,0.000108,0.000005,0.000011,0.000001,0.000194,0.000152,0.000060,0.000300,0.000051,0.000003,0.000644,0.000646
78,0.892968,0.000414,0.022655,0.004117,0.000040,0.000085,0.000186,0.000097,0.001386,0.000573,0.933651,0.001688,0.000020,0.004119,0.004468
79,0.533456,0.000031,0.007052,0.111919,0.002775,0.000203,0.001498,0.000931,0.005967,0.006561,0.250063,0.001983,0.000287,0.007694,0.003946
80,0.444023,0.000394,0.001334,0.011028,0.001476,0.000369,0.000041,0.000776,0.001261,0.002348,0.077034,0.000344,0.000634,0.001600,0.001205
81,0.070051,0.000036,0.172368,0.117094,0.002321,0.000186,0.000409,0.000644,0.003733,0.027119,0.216409,0.001521,0.000879,0.021428,0.013189
82,0.656998,0.000145,0.003808,0.025797,0.000198,0.000055,0.000089,0.000267,0.001255,0.002038,0.815517,0.000579,0.000143,0.001560,0.003326
83,0.000100,0.000015,0.000020,0.996141,0.009744,0.000166,0.000349,0.000032,0.000862,0.002236,0.152524,0.000299,0.000472,0.000110,0.000088
84,0.000280,0.000006,0.000061,0.998841,0.003756,0.000089,0.000332,0.000056,0.000858,0.000394,0.231593,0.000420,0.000627,0.000245,0.000111
85,0.000003,0.000000,0.000039,0.999817,0.001289,0.000030,0.000101,0.000179,0.000731,0.016595,0.147500,0.000113,0.000254,0.000049,0.000028
86,0.000001,0.000000,0.000061,0.999856,0.000150,0.000014,0.000059,0.000204,0.000541,0.041421,0.076667,0.000069,0.000053,0.000036,0.000011
