frame,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14
40,0.001297,0.000607,0.988138,0.008167,0.001673,0.001163,0.000757,0.057349,0.003823,0.006940,0.954018,0.002919,0.000890,0.001977,0.004984
41,0.000590,0.000411,0.995146,0.001426,0.000689,0.000939,0.000427,0.083059,0.001070,0.004840,0.941732,0.002030,0.000469,0.002063,0.005117
42,0.001950,0.000273,0.988596,0.002838,0.001322,0.002863,0.000602,0.124060,0.001840,0.005999,0.791907,0.004042,0.000628,0.002232,0.004392
43,0.007374,0.000127,0.913576,0.000758,0.007073,0.001286,0.000189,0.160588,0.000807,0.007791,0.357633,0.001239,0.000266,0.000990,0.001529
44,0.554688,0.003073,0.010716,0.097411,0.107770,0.009844,0.000508,0.020904,0.001395,0.000597,0.644336,0.007098,0.001193,0.001491,0.001303
45,0.162788,0.009993,0.012532,0.127545,0.176985,0.014231,0.000635,0.066461,0.002418,0.001265,0.508546,0.006839,0.002126,0.001886,0.000964
46,0.518949,0.000003,0.628671,0.000092,0.000585,0.000523,0.011814,0.004478,0.005267,0.789595,0.053326,0.001766,0.000781,0.001402,0.000544
47,0.201739,0.015618,0.034524,0.106531,0.090212,0.043557,0.001504,0.033288,0.006016,0.004796,0.680535,0.019698,0.003856,0.003700,0.001977
48,0.443279,0.069267,0.068100,0.017019,0.025356,0.021111,0.001091,0.010021,0.001717,0.001045,0.974825,0.016324,0.001682,0.003618,0.002862
49,0.382584,0.072421,0.081305,0.020710,0.034777,0.027034,0.001554,0.010862,0.002620,0.001939,0.961443,0.019621,0.003149,0.004430,0.003256
50,0.248925,0.066241,0.103412,0.026790,0.027232,0.019418,0.000780,0.011222,0.001906,0.001545,0.971154,0.014991,0.002494,0.004152,0.003287
51,0.284863,0.069350,0.101548,0.028415,0.035714,0.025728,0.000949,0.009333,0.001900,0.001535,0.963960,0.017991,0.002920,0.004356,0.003270
52,0.306302,0.067152,0.104338,0.022690,0.015928,0.011682,0.000532,0.005096,0.001093,0.000993,0.987266,0.010402,0.001567,0.003875,0.003015
